PARAMETERS,SO2,CO,NO,NO2,NOX,NH3,O3,AQI,WS,WD,RH,SR,TC
5/22/2024,5.44,0.48,2.45,5.2,7.48,2.45,30.15,71,0.86,264.86,102.03,82.2,28.99
5/23/2024,5.85,0.5,2.38,5.23,7.37,2.38,29.51,70,0.88,250.91,102.01,82.56,29.02
5/24/2024,4.73,0.45,2.39,5.16,7.33,2.39,29.66,70,0.88,208.56,99.34,87.07,29.37
5/25/2024,6.66,0.49,2.39,5.23,7.38,2.39,29.65,70,1.01,231.96,93.69,86.73,29.34
5/26/2024,4.55,0.45,2.39,5.16,7.33,2.39,29.62,70,1.02,244.22,99.28,75.76,28.49
5/27/2024,4.83,0.48,2.4,5.23,7.47,2.4,29.7,70,1.09,224.94,92.78,90.07,29.6
5/28/2024,6.45,0.48,2.41,5.2,7.44,2.41,29.77,70,1.01,221.96,96.93,81.7,28.95
5/29/2024,4.44,0.5,2.42,5.21,7.42,2.42,29.93,71,0.95,220.59,103.1,72.88,28.27
5/30/2024,4.47,0.43,2.38,5.25,7.45,2.38,25.6,66,1.1,219.66,95.62,86.16,29.29
5/31/2024,5.03,0.42,1.87,5.39,8,1.87,22.1,56,1.02,220.68,88.74,109.41,31.1
06/01/2024,4.35,0.51,1.71,5.34,7.8,1.71,36.28,61,1.05,226.06,88.3,109.49,31.11
06/02/2024,3.4,0.46,2.12,5.12,7.28,2.12,36.25,61,0.9,216.06,89.15,105.25,30.78
06/03/2024,3.93,0.63,2.11,5.2,7.35,2.11,36.23,61,0.83,210.98,90.98,101.95,30.53
06/04/2024,3.91,0.58,1.8,5.3,7,1.8,36.28,60,0.74,166.42,89.28,109.75,31.13
06/05/2024,4.42,0.52,1.83,5.25,7.12,1.83,36.25,60,0.75,128.45,93.25,105.51,30.8
06/06/2024,4.48,0.49,1.7,5.23,6.8,1.7,36.21,60,0.68,153.48,95.64,99.53,30.34
06/07/2024,4.62,0.53,1.27,5.19,6.45,1.27,36.17,58,0.7,145.59,98.53,93.92,29.9
06/08/2024,3.87,0.61,1.25,5.24,6.36,1.25,36.07,57,0.78,191.48,102.92,81.28,28.92
06/09/2024,3.24,0.55,1.26,5.24,6.41,1.26,36.15,57,0.77,212.31,94.67,91.31,29.7
06/10/2024,3.28,0.6,1.79,5.17,6.87,1.79,36.23,58,0.81,196.07,93.51,103.15,30.62
06/11/2024,2.9,0.64,2.25,5.33,7.61,2.25,36.25,60,0.86,213.89,89.81,104.67,30.74
06/12/2024,3.42,0.69,2.27,5.23,7.38,2.27,36.24,61,0.85,210.15,91.11,104.74,30.74
6/13/2024,4.01,0.67,1.7,5.09,6.75,1.7,36.27,59,0.92,188.33,91.15,107.49,30.96
6/14/2024,4.53,0.63,1.3,5.12,6.31,1.3,36.3,59,1.05,222.25,86.67,111.75,31.29
6/15/2024,3.42,0.58,1.44,5.09,6.43,1.44,36.28,61,0.9,179.24,87.35,110.08,31.16
6/16/2024,3.42,0.55,1.55,4.99,6.56,1.55,36.27,62,0.94,167.65,86.54,108.49,31.03
6/17/2024,3.87,0.5,1.55,5.03,6.55,1.55,36.31,62,0.66,139.41,87.37,113.11,31.39
6/18/2024,4.36,0.57,1.37,5.01,6.42,1.37,36.15,60,0.81,142.23,97.72,92.14,29.76
6/19/2024,4.48,0.55,1.22,4.96,6.08,1.22,36.03,58,0.85,142.55,103.12,76.07,28.52
6/20/2024,3.28,0.65,1.18,5.14,6.19,1.18,36.03,56,0.86,160.8,99.55,75.56,28.48
6/21/2024,3.63,0.6,1.24,5.21,6.42,1.24,36.1,56,0.96,196.44,93.57,84.75,29.19
6/22/2024,2.51,0.56,1.44,5.22,6.59,1.44,36.07,55,0.94,163.25,96.29,81.12,28.91
6/23/2024,3.5,0.49,1.6,5.06,6.68,1.6,36.14,56,1.04,229.14,91.44,90.49,29.64
6/24/2024,5.64,0.61,1.34,5.11,6.38,1.34,36.06,56,0.98,221.54,96.62,79.57,28.79
6/25/2024,3.64,0.65,1.23,5.12,6.28,1.23,35.99,57,0.96,192.84,100.68,70.69,28.1
6/26/2024,2.91,0.59,1.36,5.3,6.72,1.36,35.94,55,0.98,217.06,102.22,63.46,27.54
6/27/2024,2.49,0.63,1.33,5.23,6.52,1.33,36,55,0.92,206.69,100.14,71.43,28.16
6/28/2024,4.06,0.61,1.51,5.2,6.65,1.51,36.16,57,0.86,185.17,94.67,93,29.83
6/29/2024,4.43,0.6,1.98,5.76,7.62,1.98,36.18,53,0.91,195.42,93.32,95.77,30.04
6/30/2024,3.83,0.57,2.22,6.15,8.18,2.22,36.26,50,1.04,217.06,86.67,107.01,30.92
07/01/2024,3.08,0.56,1.77,5.57,7.28,1.77,36.07,49,1.16,230.19,94.92,81.19,28.91
07/02/2024,3.33,0.6,1.95,5.2,7.06,1.95,36.22,51,1.2,230.79,85.06,100.65,30.42
07/03/2024,3.84,0.58,1.69,5.16,6.84,1.69,36.22,53,1.09,212.19,90.58,100.81,30.44
07/04/2024,3.91,0.58,1.34,5.42,6.64,1.34,36.27,56,1.12,230.24,85.28,108.4,31.03
07/05/2024,4.35,0.55,1.41,5.31,6.63,1.41,36.16,54,1.05,235.34,91.33,93.5,29.87
07/06/2024,3.48,0.72,1.43,5.09,6.6,1.43,36.11,52,0.93,229.47,87.84,86.2,29.3
07/07/2024,3.32,0.51,1.46,5.13,6.56,1.46,36.23,52,1.08,213.46,84.63,102.52,30.57
07/08/2024,3.04,0.58,1.95,5.15,6.96,1.95,36.1,55,1.25,230.78,84.2,84.92,29.2
07/09/2024,3.54,0.69,1.73,5.39,7.03,1.73,36.13,53,1.04,222.27,84.63,89.8,29.58
07/10/2024,4.33,0.6,1.92,5.45,7.28,1.92,36.18,53,1.05,230.94,86.68,96.77,30.12
07/11/2024,2.78,0.59,2.3,5.39,7.65,2.3,36.22,53,1.17,227.56,86.5,101.53,30.49
07/12/2024,3.55,0.56,2.35,5.34,7.61,2.35,36.12,55,1.12,232.48,90.43,88.2,29.46
7/13/2024,2.56,0.61,1.85,5.28,7.04,1.85,35.98,53,1.02,224.42,97.12,69.17,27.98
7/14/2024,4.03,0.49,1.35,5.22,6.46,1.35,36.11,50,1.34,225.19,89.38,87.18,29.38
7/15/2024,3.19,0.57,1.84,5.19,6.92,1.84,35.93,50,0.96,206.91,101.38,62.07,27.43
7/16/2024,2.27,0.52,2.25,5.1,7.38,2.25,36.07,49,1.26,234.41,91.99,80.59,28.87
7/17/2024,3.31,0.53,1.76,5.33,7,1.76,35.97,49,1.2,218.21,97.71,68.57,27.93
7/18/2024,2.89,0.45,1.45,5.76,7.38,1.45,36.03,46,1.57,230.43,92.87,76.23,28.53
7/19/2024,2.72,0.52,1.89,5.56,7.51,1.89,36.16,47,1.32,230.85,90.07,93.02,29.83
7/20/2024,3.34,0.54,2.23,5.28,7.47,2.23,36.2,49,1.11,218.8,92.95,99.04,30.3
7/21/2024,2.19,0.49,2.31,5.43,7.67,2.31,36.21,49,1.18,214.98,91.6,100.26,30.39
7/22/2024,4.41,0.58,1.73,5.27,6.96,1.73,36.12,48,1.05,200.06,95.04,87.82,29.43
7/23/2024,4.64,0.55,1.79,4.89,6.64,1.79,36.23,50,1.16,234.77,87.53,102.51,30.57
7/24/2024,4.16,0.54,1.75,4.51,6.17,1.75,36.26,54,1.48,227.19,86.19,107.09,30.92
7/25/2024,3.89,0.5,1.78,4.81,6.64,1.78,36.16,56,1.51,229.76,89.74,92.73,29.81
7/26/2024,4.1,0.49,2.2,5.16,7.36,2.2,36.17,58,1.78,232.07,89.3,94.61,29.96
7/27/2024,2.71,0.45,1.77,5.27,7.03,1.77,36.23,57,2.03,223.02,89.05,103.32,30.63
7/28/2024,4.33,0.46,1.35,5.24,6.53,1.35,36.15,55,1.53,226.74,94.32,91.34,29.7
7/29/2024,4.26,0.59,1.83,5.22,6.96,1.83,35.99,52,1.09,227.65,98.07,70.76,28.11
7/30/2024,3.42,0.52,1.77,4.73,6.46,1.77,36.01,50,1.66,200.31,91.64,73.53,28.32
7/31/2024,2.28,0.52,1.82,4.75,6.64,1.82,36.09,51,1.5,200.03,88.63,84.16,29.15
08/01/2024,2.68,0.58,1.66,4.66,6.17,1.66,36.15,54,1.26,209.91,87.94,92.4,29.79
08/02/2024,3.11,0.53,1.79,4.81,6.65,1.79,36.12,56,1.61,225.43,89.97,87.56,29.41
08/03/2024,3.25,0.48,1.86,4.82,6.57,1.86,36.17,57,1.83,224.96,82.89,94.28,29.93
08/04/2024,2.64,0.44,1.45,4.33,5.76,1.45,36.22,56,2.19,225.94,79.05,100.68,30.43
08/05/2024,4.24,0.68,1.9,4.77,6.7,1.9,36.15,58,1.6,224.15,84.28,92.21,29.77
08/06/2024,3.06,0.49,1.77,5.26,6.98,1.77,36.12,59,1.86,224.87,88.02,88.29,29.47
08/07/2024,2.03,0.48,1.83,4.73,6.57,1.83,36.15,60,1.67,224.19,83.94,92.37,29.78
08/08/2024,2.55,0.54,2.32,4.28,6.63,2.32,36.19,61,1.83,225.4,79.63,97.29,30.16
08/09/2024,3.75,0.53,2.44,4.41,6.72,2.44,36.18,60,1.6,218.43,80.4,95.86,30.05
08/10/2024,3.55,0.5,2.4,4.38,6.77,2.4,36.14,60,1.68,223.99,89.01,90.43,29.63
08/11/2024,2.03,0.43,2.44,4.37,6.84,2.44,36.18,60,1.95,224.69,88.5,95.48,30.02
08/12/2024,2.52,0.49,1.87,4.9,6.82,1.87,36.17,61,1.81,224.45,90.9,94.92,29.98
8/13/2024,2.21,0.56,1.87,4.8,6.7,1.87,36.15,64,1.37,204.95,93.72,91.25,29.7
8/14/2024,3.88,0.51,1.81,4.84,6.54,1.8,36.08,62,1.24,221.68,93.82,81.97,28.97
8/15/2024,4.33,0.43,1.34,5.24,6.53,1.34,36.09,58,1,170.08,96.8,84.13,29.14
8/16/2024,3.44,0.56,1.35,5.27,6.48,1.35,36.13,58,1.19,221.47,95.57,88.82,29.51
8/17/2024,3.61,0.52,2.03,4.76,6.9,2.03,36.1,57,0.96,200.11,96.26,84.68,29.19
8/18/2024,2.55,0.47,2.55,4.56,6.91,2.55,36.13,55,0.87,200.2,92.38,88.94,29.52
8/19/2024,2.73,0.59,1.95,4.88,6.68,1.95,36.16,62,1.03,199.64,91.96,93.08,29.84
8/20/2024,3.3,0.5,1.92,5.32,7.15,1.92,36.19,64,0.7,190.91,89.58,96.94,30.14
8/21/2024,2.95,0.48,2.33,5.26,7.54,2.33,36.05,62,0.92,182.88,91.82,77.81,28.65
8/22/2024,2.1,0.59,2.35,5.33,7.64,2.35,36.12,63,1.01,212.99,91.01,87.44,29.4
8/23/2024,2.82,0.55,2.31,5.22,7.69,2.31,36.18,62,0.82,128.31,90.86,96.06,30.07
8/24/2024,2.1,0.54,2.32,5.27,7.54,2.32,36.2,62,1.06,186.46,89.75,98.25,30.24
8/25/2024,3.56,0.57,2.35,5.24,7.51,2.35,36.23,62,1.22,235.2,86.08,103.22,30.62
8/26/2024,2.07,0.52,2.34,5.24,7.59,2.34,36.23,62,1.09,192.55,86.18,102.55,30.57
8/27/2024,3.25,0.6,2.29,5.31,7.54,2.29,36.25,62,1.03,198.58,88.53,105.33,30.79
8/28/2024,3.09,0.55,2.31,5.31,7.45,2.31,36.21,62,1.22,220.26,90.55,99.97,30.37
8/29/2024,4.26,0.56,2.3,5.35,7.47,2.3,36.27,61,1.12,204.9,87.4,107.87,30.99
8/30/2024,2.8,0.59,2.34,5.29,7.64,2.34,36.01,63,0.86,223.66,96.21,73.23,28.3
8/31/2024,2.77,0.45,2.3,5.25,7.52,2.3,36.14,62,1.56,215.81,91.42,90.8,29.66
09/01/2024,3.14,0.47,2.32,5.21,7.51,2.32,36.04,62,1.24,221.89,95.36,77.08,28.6
09/02/2024,3.18,0.54,1.78,4.72,6.45,1.78,36.14,58,1.44,223.72,92.79,90.5,29.64
09/03/2024,2.92,0.48,1.3,4.66,5.85,1.3,36.1,53,1.06,206.22,94.83,85.12,29.22
09/04/2024,1.95,0.45,1.56,4.77,6.32,1.56,36.19,50,1.68,224.16,90.93,97.09,30.15
09/05/2024,4.41,0.47,1.76,4.3,5.94,1.76,36.2,46,1.78,224.8,88.84,99.05,30.3
09/06/2024,3.45,0.48,1.46,4.44,5.63,1.46,36.18,46,1.8,225.54,90.07,95.37,30.01
09/07/2024,4.41,0.47,1.44,4.8,6.64,1.44,36.2,47,1.72,225,89.08,98.78,30.28
09/08/2024,3.86,0.46,1.46,5.16,7.39,1.46,36.15,49,1.14,209.97,92.69,92.41,29.79
09/09/2024,4.28,0.51,1.35,4.67,6.32,1.35,36.17,45,1.13,208.89,92.73,93.94,29.9
09/10/2024,4.09,0.54,1.33,4.33,5.61,1.33,36.19,43,1.25,201.83,90.6,97.4,30.17
09/11/2024,3.78,0.54,1.98,4.9,6.88,1.98,36.13,45,1,218.52,94.92,89.65,29.57
09/12/2024,4.44,0.52,2.44,5.38,7.86,2.44,36.19,46,1.38,199.55,89.95,96.93,30.14
9/13/2024,4.22,0.49,1.67,4.59,6.26,1.67,36.25,46,1.24,202.24,88.36,105.38,30.79
9/14/2024,4.41,0.45,1.26,4.2,5.36,1.26,36.21,47,1.47,224.4,87.36,99.64,30.35
9/15/2024,3.97,0.39,1.25,4.2,5.45,1.25,36.21,47,1.65,225.22,84.82,99.39,30.33
9/16/2024,4.36,0.41,1.27,4.18,5.34,1.27,36.22,47,1.45,226.91,86.97,101.11,30.46
9/17/2024,4.78,0.42,1.89,4.75,6.62,1.89,36.24,50,1.7,227.13,83.54,104.5,30.72
9/18/2024,5.33,0.49,1.81,4.83,6.57,1.81,36.24,53,1.59,230.25,82.45,103.88,30.67
9/19/2024,4.67,0.55,1.85,4.8,6.75,1.85,36.2,55,1.29,233.92,84.4,98.06,30.22
9/20/2024,4.79,0.48,2.33,4.74,7.11,2.33,36.21,57,1.25,233.18,83.76,99.66,30.35
9/21/2024,4.8,0.43,2.41,4.99,6.71,2.41,36.22,60,1.52,231.32,82.9,101.77,30.51
9/22/2024,4.02,0.48,2.38,5.38,6.73,2.38,36.16,60,1.41,218.35,86.25,92.76,29.81
9/23/2024,4.97,0.52,1.73,4.72,6.02,1.73,36.13,58,1.48,234.96,88.75,89.11,29.53
9/24/2024,4.95,0.49,1.23,4.2,5.32,1.23,36.2,56,1.36,228.02,82.88,98.58,30.26
9/25/2024,5.29,0.52,1.87,4.82,6.69,1.87,36.18,58,1.44,225.12,88.13,95.83,30.05
9/26/2024,4.71,0.47,1.82,4.82,6.43,1.82,36.19,61,1.71,224.36,85.06,97.56,30.18
9/27/2024,3.94,0.46,1.93,4.92,6.86,1.93,36.22,61,1.67,224.7,83.67,101.51,30.49
9/28/2024,4.21,0.53,1.75,5.26,6.92,1.75,36.18,61,1.56,235.42,87.56,95.83,30.05
9/29/2024,4.01,0.47,1.24,5.19,6.31,1.24,36.21,57,0.92,200.49,90.29,99.89,30.37
9/30/2024,73.71,0.46,1.86,5.24,7.11,1.86,36.18,57,0.71,159.03,89.12,96.02,30.07
10/01/2024,4.29,0.56,2.37,5.39,7.69,2.37,36.18,58,0.75,213.6,93.82,95.97,30.06
10/02/2024,3.3,0.45,2.38,5.3,7.75,2.38,36.09,58,0.73,203.75,99.21,84.42,29.17
10/03/2024,4.05,0.52,1.78,5.24,6.94,1.78,36.14,60,0.77,144.05,91.56,90.57,29.64
10/04/2024,6.02,0.47,1.97,5.32,7.29,1.97,36.2,62,0.8,130.6,91.35,98.58,30.26
10/05/2024,3.84,0.57,1.81,4.72,6.47,1.81,36.18,61,0.84,150.52,91.67,95.85,30.05
10/06/2024,3.36,0.47,1.23,4.14,5.35,1.23,36.18,59,0.79,147.63,92.39,96.06,30.07
10/07/2024,3.97,0.43,1.81,4.68,6.43,1.81,35.98,57,0.72,208.39,97.62,68.98,27.97
10/08/2024,4.5,0.46,1.72,5.12,6.82,1.72,36.18,55,0.77,119.53,90.04,95.57,30.03
10/09/2024,4.24,0.44,1.86,5.2,6.94,1.86,36.16,55,0.7,108.48,91.1,92.43,29.79
10/10/2024,4.73,0.52,1.86,5.22,7.06,1.86,36.07,57,0.9,198.65,90.31,81.21,28.91
10/11/2024,3.81,0.47,1.45,5.15,6.56,1.45,35.98,58,0.93,173.11,96.23,69.38,28
10/12/2024,3.26,0.47,1.45,5.16,6.59,1.45,36.04,58,0.88,184.5,90.89,76.91,28.58
10/13/2024,4.11,0.5,1.47,5.2,6.57,1.47,36.15,58,0.95,176.73,88.11,92.23,29.77
10/14/2024,4.33,0.63,1.91,5.18,6.94,1.91,36.12,61,0.94,230.16,84.52,88.39,29.47
10/15/2024,5.48,0.56,1.77,5.2,6.8,1.77,36.17,64,1,189.15,86.01,94.06,29.91
10/16/2024,4.79,0.49,1.8,5.18,6.96,1.8,36.15,64,1.34,230.05,88.15,91.62,29.72
10/17/2024,5.5,0.57,1.7,5.2,6.86,1.7,36.22,66,1.1,212.93,85.54,101.5,30.49
10/18/2024,5.57,0.5,1.86,5.14,6.99,1.86,36.25,69,0.84,138.03,87.53,105.07,30.77
10/19/2024,5.32,0.48,1.73,5.22,6.93,1.73,36.18,67,0.86,170.06,88.43,95.61,30.03
10/20/2024,3.74,0.45,1.35,5.24,6.5,1.35,36.23,66,0.99,176.68,86.96,103.05,30.61
10/21/2024,4.34,0.59,1.36,5.23,6.59,1.36,36.25,66,0.91,197.35,87.54,104.83,30.75
10/22/2024,4.44,0.52,1.36,5.24,6.5,1.36,36.24,66,0.82,162.9,89.05,104.2,30.7
10/23/2024,4.36,0.44,1.34,5.27,6.5,1.34,36.13,66,0.72,180.03,92.01,89.34,29.55
10/24/2024,4.68,0.46,1.86,5.2,7.01,1.86,36.06,62,0.79,134.87,99.36,79.53,28.79
10/25/2024,3.98,0.54,1.78,5.12,6.83,1.78,35.91,56,0.87,208.43,103.46,59.53,27.23
10/26/2024,4.38,0.49,1.36,5.12,6.45,1.36,36.08,48,0.74,134.43,96.36,82.75,29.04
10/27/2024,4.71,0.53,1.45,5.15,6.5,1.45,36.13,45,0.8,169.43,92.97,89.15,29.53
10/28/2024,3.89,0.55,1.92,5.19,7.12,1.92,36.22,40,1,206.91,86.7,101.8,30.51
10/29/2024,4.13,0.59,1.8,5.28,7.08,1.8,36.22,54,1.18,191.09,85.17,101.1,30.46
10/30/2024,3.71,0.6,1.85,5.25,7.1,1.85,36.27,62,1.16,233.15,83.72,107.95,30.99
10/31/2024,5.14,0.49,2.31,5.21,7.4,2.31,36.21,70,0.78,195.17,92.14,100.2,30.39
11/01/2024,3.2,0.58,1.72,5.17,6.79,1.72,36.08,69,0.97,242.11,93.85,82.83,29.04
11/02/2024,3.85,0.54,1.87,5.15,6.96,1.87,36.01,66,0.73,216.97,98.64,73.06,28.28
11/03/2024,4.63,0.47,2.39,5.17,7.47,2.39,36.09,65,0.7,132.37,94.42,83.48,29.09
11/04/2024,4.92,0.56,1.78,5.22,6.92,1.78,36.03,62,0.79,164.98,98.47,76.07,28.52
11/05/2024,3.06,0.55,1.33,5.19,6.4,1.33,36.03,58,0.83,163.43,91.51,76.46,28.55
11/06/2024,4.22,0.55,1.86,5.19,6.96,1.86,36.12,56,1.05,161.4,88.55,87.86,29.43
11/07/2024,6.11,0.6,2.25,5.15,7.29,2.25,36.24,57,0.98,178.79,86.87,104.34,30.71
11/08/2024,3.54,0.59,1.74,5.12,6.73,1.74,36.06,57,0.69,179.93,98.36,80.42,28.85
11/09/2024,3.91,0.52,1.27,5.15,6.35,1.27,36.17,50,0.74,99.54,90.12,94.77,29.97
11/10/2024,4.91,0.51,1.27,5.14,6.3,1.27,36.21,50,0.8,152.94,86.88,100.01,30.37
11/11/2024,5.24,0.65,1.88,5.22,6.95,1.88,36.19,59,0.84,148.76,81.96,97.08,30.15
11/12/2024,4.49,0.62,2.31,5.24,7.51,2.31,36.21,67,1.05,135.21,87.01,100.43,30.41
11/13/2024,4.57,0.54,1.81,5.3,7.03,1.82,36.23,68,0.71,128.52,86.85,102.78,30.59
11/14/2024,4.56,0.57,1.41,5.33,6.74,1.41,36.11,64,0.75,182.17,95.42,86.59,29.33
11/15/2024,5.28,0.66,1.91,5.18,7.09,1.91,36.04,61,0.66,185.78,101.73,77.2,28.6
11/16/2024,4.43,0.63,1.84,5.16,7.01,1.84,36.08,63,0.72,141.65,100.22,82.39,29.01
11/17/2024,4.01,0.62,1.35,5.17,6.53,1.35,36.16,65,0.74,158.81,95.03,93.16,29.84
11/18/2024,4.55,0.65,1.35,5.23,6.5,1.35,36.21,66,0.75,135.45,80.59,100.2,30.39
11/19/2024,4.15,0.74,1.35,5.23,6.58,1.35,36.13,65,0.7,164.26,84.9,89.15,29.53
11/20/2024,5.24,0.68,1.92,5.16,7.11,1.92,35.9,59,0.84,171.64,97.55,58.95,27.19
11/21/2024,3.78,0.72,1.69,5.16,6.75,1.69,36.03,57,0.93,159.56,91.6,76.38,28.54
11/22/2024,3.95,0.53,1.25,5.14,6.38,1.25,36.13,60,0.8,83.45,90.37,88.78,29.5
11/23/2024,4.65,0.69,1.24,5.11,6.31,1.24,36.17,63,0.85,102.53,92.05,94.85,29.98
11/24/2024,4.15,0.67,1.23,5.13,6.37,1.23,36.21,64,0.72,93.52,90.4,99.53,30.34
11/25/2024,4.02,0.66,1.8,5.18,6.95,1.8,36.18,67,0.8,72.1,90.56,95.87,30.05
11/26/2024,4.15,0.62,2.18,5.29,7.34,2.18,36.05,63,0.78,198.92,97.5,79.17,28.76
11/27/2024,3.53,0.76,2.24,5.2,7.34,2.24,36.01,55,0.94,211.44,94.5,72.95,28.27
11/28/2024,3.97,0.76,1.79,5.14,6.93,1.79,36.13,52,1.04,136.74,90.3,89.76,29.58
11/29/2024,4.2,0.79,1.43,5.13,6.44,1.43,36.24,57,1.28,227.32,85.15,103.82,30.67
11/30/2024,3.98,0.68,1.42,5.13,6.53,1.42,36.22,59,1.49,224.33,81.38,101.5,30.49
12/01/2024,4.42,0.54,1.44,5.09,6.46,1.44,36.3,61,1.71,213.08,78.73,111.38,31.26
12/02/2024,3.73,0.61,1.43,5.18,6.53,1.43,36.25,60,1.54,226.04,80.48,105.62,30.81
12/03/2024,3.81,0.59,1.88,5.08,6.88,1.88,36.18,63,1.08,173.74,82.9,95.38,30.02
12/04/2024,3.28,0.56,2.22,5.12,7.28,2.22,36.19,65,0.71,108.69,85.13,96.83,30.13
12/05/2024,4.22,0.63,1.79,5.22,6.9,1.79,36.12,67,0.72,144.48,91.42,87.48,29.4
12/06/2024,3.99,0.55,1.48,5.38,6.75,1.48,36.15,67,0.75,120.52,88.22,91.45,29.71
12/07/2024,3.39,0.53,1.45,5.36,6.76,1.45,36.22,63,0.93,198.14,86.07,100.74,30.43
12/08/2024,4.7,0.48,1.44,5.29,6.74,1.44,36.19,63,0.68,132.89,90,97.42,30.17
12/09/2024,2.35,0.59,1.79,5.32,7.08,1.79,36.18,64,0.84,146.9,87.51,95.27,30.01
12/10/2024,4.62,0.62,2.44,5.33,7.67,2.44,36.18,65,1.07,185.71,84.65,95.83,30.05
12/11/2024,2.92,0.59,2.39,5.36,7.67,2.39,36.21,63,0.75,138.95,86.96,99.88,30.36
12/12/2024,3.57,0.66,1.77,5.22,6.9,1.77,35.97,62,0.93,219.54,99.44,68.13,27.9
12/13/2024,2.07,0.6,1.27,5.14,6.27,1.27,36.07,58,0.68,193.71,94.74,80.69,28.88
12/14/2024,3.48,0.57,1.27,5.08,6.36,1.27,35.98,56,0.73,184.43,99.23,68.39,27.92
12/15/2024,3.5,0.57,1.24,5.09,6.28,1.24,36.12,55,0.7,151.97,83.75,87.56,29.41
12/16/2024,2.7,0.57,1.8,5.13,6.88,1.8,36.11,59,0.74,101.14,80.42,86.5,29.33
12/17/2024,3.18,0.55,2.4,5.28,7.63,2.4,36.17,62,0.71,179.81,85.56,94.11,29.92
12/18/2024,3.82,0.66,1.86,5.2,7.03,1.86,36.2,65,0.99,202.93,86.04,99.11,30.31
12/19/2024,3.24,0.6,1.45,5.14,6.42,1.45,36.23,67,0.89,231.53,80.5,102.35,30.56
12/20/2024,4.36,0.65,1.47,5.11,6.49,1.47,36.25,70,0.91,199.09,81.72,105.11,30.77
12/21/2024,2.41,0.6,1.42,5.09,6.6,1.42,36.23,71,1.66,230.97,81.8,103.42,30.64
12/22/2024,2.59,0.53,1.44,5.11,6.47,1.44,36.24,71,1.6,234.16,79.51,103.42,30.64
12/23/2024,2.9,0.5,1.88,5.25,7.05,1.88,36.15,68,1.33,217.43,75.39,91.99,29.75
12/24/2024,3.77,0.52,2.32,5.26,7.6,2.32,36.08,66,1.12,172.82,75.17,82.14,28.99
12/25/2024,2.83,0.52,2.32,5.25,7.53,2.32,36.09,62,1.34,205.08,77.71,83.53,29.1
12/26/2024,1.88,0.5,1.82,5.26,7.07,1.82,36.17,64,1.2,183.43,79.83,94.28,29.93
12/27/2024,3.53,0.53,1.45,5.34,6.68,1.45,36.2,66,0.8,151.19,83.99,98.19,30.23
12/28/2024,3.65,0.48,1.44,5.35,6.72,1.44,36.17,64,0.82,159.29,76.87,95.05,29.99
12/29/2024,4.64,0.49,1.42,5.35,6.58,1.42,36.21,60,0.82,148.56,78.66,100.6,30.42
12/30/2024,4.18,0.53,1.44,5.37,6.77,1.44,36.2,60,0.7,143.66,86.57,98,30.22
12/31/2024,3.67,0.62,1.42,5.35,6.61,1.42,36.19,60,0.72,163.21,77.02,96.68,30.12
